"8bitoperator JVE";0;False;False;1;0;1;1
32;198;122;6;32;6;0
33;188;122;8;26;12;2
34;220;122;10;16;12;0
35;104;2;14;26;16;0
36;184;2;12;30;14;0
37;88;2;14;26;16;0
38;136;2;14;26;16;0
39;14;156;4;16;6;0
40;178;122;8;26;10;0
41;158;122;8;26;10;0
42;212;2;16;22;18;0
43;16;122;12;22;14;0
44;238;122;4;30;6;0
45;134;122;12;18;14;0
46;2;156;4;26;6;0
47;2;36;12;28;14;0
48;114;66;12;26;14;0
49;58;66;12;26;14;0
50;240;66;12;26;14;0
51;156;36;12;26;14;0
52;100;36;12;26;14;0
53;44;66;12;26;14;0
54;170;36;12;26;14;0
55;226;36;12;26;14;0
56;2;94;12;26;14;0
57;184;66;12;26;14;0
58;244;122;4;26;6;0
59;232;122;4;30;6;0
60;66;122;10;26;12;0
61;120;122;12;20;14;0
62;30;122;10;26;12;0
63;86;94;12;26;14;0
64;72;94;12;26;14;0
65;184;36;12;26;14;0
66;128;36;12;26;14;0
67;240;36;12;26;14;0
68;100;94;12;26;14;0
69;156;94;12;26;14;0
70;142;94;12;26;14;0
71;142;36;12;26;14;0
72;142;66;12;26;14;0
73;30;36;12;26;14;0
74;72;66;12;26;14;0
75;100;66;12;26;14;0
76;184;94;12;26;14;0
77;152;2;14;26;16;0
78;72;36;12;26;14;0
79;170;66;12;26;14;0
80;198;66;12;26;14;0
81;198;2;12;30;14;0
82;128;66;12;26;14;0
83;170;94;12;26;14;0
84;86;66;12;26;14;0
85;212;66;12;26;14;0
86;114;94;12;26;14;0
87;72;2;14;26;16;0
88;16;36;12;26;14;0
89;128;94;12;26;14;0
90;2;122;12;26;14;0
91;168;122;8;26;10;0
92;230;2;12;28;14;0
93;148;122;8;26;10;0
94;206;122;12;14;14;0
95;78;122;8;32;10;0
96;20;156;6;10;8;0
97;156;66;12;26;14;0
98;58;94;12;26;14;0
99;86;36;12;26;14;0
100;212;94;12;26;14;0
101;2;66;12;26;14;0
102;16;66;12;26;14;0
103;2;2;12;32;14;0
104;58;36;12;26;14;0
105;16;94;12;26;14;0
106;30;2;12;32;14;0
107;240;94;12;26;14;0
108;226;66;12;26;14;0
109;120;2;14;26;16;0
110;198;36;12;26;14;0
111;44;36;12;26;14;0
112;58;2;12;32;14;0
113;44;2;12;32;14;0
114;226;94;12;26;14;0
115;44;94;12;26;14;0
116;212;36;12;26;14;0
117;198;94;12;26;14;0
118;30;66;12;26;14;0
119;168;2;14;26;16;0
120;114;36;12;26;14;0
121;16;2;12;32;14;0
122;30;94;12;26;14;0
123;54;122;10;26;12;0
124;8;156;4;26;6;0
125;42;122;10;26;12;0
126;104;122;14;18;16;0
127;88;122;14;18;16;0
194;34;190;12;26;14;0
206;66;190;12;26;14;0
226;50;190;12;26;14;0
238;82;190;12;26;14;0
258;2;190;12;26;14;0
259;18;190;12;26;14;0
536;98;190;12;32;14;0
537;114;190;12;32;14;0
538;130;190;12;32;14;0
538;130;190;12;32;14;0
539;144;190;12;32;14;0
